State,Total_Avg_$,Total_Med_$,Total_Employment,Total_Mem_%,Construction_Avg_$,Construction_Med_$,Construction_Employment,Construction_Mem_%,Total_Fatalities,Construction_Fatalities,Pct_Below_Pov
Alabama,38590,29570,1808807,10,35010,31750,100593,4,92,15,1
Alaska,50350,41640,295063,22,59980,59660,17440,21,39,10,0
Arizona,42390,33040,2506723,6,39060,36380,163760,5,77,13,1
Arkansas,35460,27860,1081711,4,34270,31820,47617,6,88,18,1
California,50730,37870,13891632,17,51880,48980,707158,15,326,45,1
Colorado,46770,36770,2130393,6,42630,39300,119190,5,85,11,0
Connecticut,51920,40670,1548906,16,51640,50110,57409,17,49,12,0
Delaware,46870,35900,352227,11,44340,41170,19448,10,8,0,0
Florida,40270,30600,7033457,5,37030,33640,372863,2,225,40,1
Georgia,42270,31610,3792128,4,36430,32920,205359,4,108,26,1
Hawaii,43740,35480,511431,21,59100,59490,30660,34,19,4,0
Idaho,38600,30240,583830,7,38160,35510,29914,8,33,0,1
Illinois,46450,35080,5434237,15,54970,54580,188949,34,206,27,0
Indiana,39020,30880,2553550,10,44750,41210,114340,28,118,16,1
Iowa,37730,30380,1392729,11,39550,37070,66834,14,85,10,0
Kansas,39290,30590,1221559,6,39290,34840,54297,10,76,73,0
Kentucky,37970,30090,1641655,8,38640,36020,79126,15,69,9,1
Louisiana,37980,30170,1742418,4,37850,34820,104574,2,111,16,1
Maine,39470,31780,543451,11,37970,36140,21653,5,20,3,0
Maryland,50880,39740,2557824,11,44530,40400,148564,6,71,18,0
Massachusetts,53700,41880,2865795,14,54160,51070,120442,15,54,14,0
Michigan,43280,33830,3805863,16,46250,43620,109973,21,146,23,1
Minnesota,45470,35990,2467752,15,50990,49490,90370,25,70,9,0
Mississippi,33930,26680,1037372,4,33730,30890,49737,7,68,13,1
Missouri,39780,30740,2468757,9,47280,44700,112037,32,106,12,1
Montana,36060,29030,363884,12,40390,38100,19547,11,36,0,0
Nebraska,38300,30320,813071,9,38570,34430,34001,13,54,7,0
Nevada,41220,32180,1011731,15,52890,50500,54860,30,38,5,0
New Hampshire,44450,34740,622471,10,42080,39340,21080,8,6,0,0
New Jersey,50730,39020,3733761,17,55820,53160,171421,20,81,16,0
New Mexico,40050,30060,749525,7,36410,33110,36410,6,38,10,1
New York,51700,38880,8077936,24,54910,49890,348520,27,182,37,0
North Carolina,40500,31090,3685868,3,34540,31900,216150,2,139,26,1
North Dakota,37040,30170,312875,7,42000,38150,17940,10,30,5,0
Ohio,40890,32150,4786868,13,43640,41480,201614,21,161,23,1
Oklahoma,36940,28890,1417791,5,35840,32670,71454,1,94,21,1
Oregon,43550,34480,1515070,16,46680,43110,72744,13,47,0,1
Pennsylvania,43050,33840,5223632,14,44430,40330,224400,26,221,39,0
Rhode Island,45920,36170,455608,16,47180,44420,16232,19,9,0,0
South Carolina,37920,29800,1713003,4,35030,32200,69112,2,69,10,1
South Dakota,34390,27900,356769,5,33470,30840,17357,4,36,7,0
Tennessee,38330,29920,2477414,4,35400,32440,107348,6,138,30,1
Texas,42220,31490,10025473,5,36310,31920,696991,2,461,89,1
Utah,40120,31290,1143844,6,39160,37000,74727,9,41,7,0
Vermont,42030,33220,289484,11,39210,36770,13966,3,12,0,0
Virginia,47840,35740,3473021,4,39250,36250,183080,3,107,14,0
Washington,48940,39030,2837203,19,52190,49750,146753,15,104,9,0
West Virginia,35370,27420,676538,14,41740,38850,35381,29,95,10,1
Wisconsin,40980,32810,2507887,14,47210,44640,97946,24,91,10,0
Wyoming,41510,35020,245685,7,45360,42180,16072,6,33,5,0
